train_accuracy,train_loss,val_accuracy,val_loss,dataset,model
0.601190447807312,0.8749701380729675,0.6279069781303406,0.8693687319755554,ArrowHead,TensorFlow
0.9226190476190477,,0.5813953488372093,,ArrowHead,GrowingNN
0.375,1.4733861684799194,0.1666666716337204,1.5973621606826782,Beef,TensorFlow
1.0,,0.5,,Beef,GrowingNN
0.9545454382896423,0.653693437576294,0.9166666865348816,0.6663291454315186,Coffee,TensorFlow
1.0,,0.75,,Coffee,GrowingNN
0.90625,0.31385836005210876,0.699999988079071,0.610735297203064,ECG200,TensorFlow
0.3375,,0.325,,ECG200,GrowingNN
0.7640449404716492,1.149309754371643,0.43478259444236755,1.2526594400405884,FaceFour,TensorFlow
1.0,,0.5217391304347826,,FaceFour,GrowingNN
0.762499988079071,0.48352664709091187,0.800000011920929,0.5010591149330139,GunPoint,TensorFlow
0.95625,,0.8,,GunPoint,GrowingNN
0.7395833134651184,0.5150716304779053,0.7200000286102295,0.6164539456367493,Lightning2,TensorFlow
1.0,,0.64,,Lightning2,GrowingNN
0.47025495767593384,1.3522908687591553,0.3932584226131439,1.3954075574874878,OSULeaf,TensorFlow
0.42209631728045327,,0.1348314606741573,,OSULeaf,GrowingNN
1.0,0.012217532843351364,0.9520000219345093,0.1685277670621872,SonyAIBORobotSurface1,TensorFlow
0.7620967741935484,,0.736,,SonyAIBORobotSurface1,GrowingNN
0.6066666841506958,1.1553705930709839,0.47555556893348694,1.373458981513977,SwedishLeaf,TensorFlow
0.15,,0.08888888888888889,,SwedishLeaf,GrowingNN
0.9439252614974976,0.21577344834804535,0.8148148059844971,0.46118906140327454,ToeSegmentation1,TensorFlow
0.7336448598130841,,0.5925925925925926,,ToeSegmentation1,GrowingNN
0.9956377744674683,0.023019596934318542,0.9741800427436829,0.10948538780212402,Wafer,TensorFlow
0.9787122666201361,,0.9741800418702024,,Wafer,GrowingNN
0.24861878156661987,2.496443510055542,0.265193372964859,2.4956705570220947,WordSynonyms,TensorFlow
0.48756906077348067,,0.287292817679558,,WordSynonyms,GrowingNN
0.6613636612892151,0.624740719795227,0.6590909361839294,0.6413798928260803,Yoga,TensorFlow
0.7443181818181818,,0.6136363636363636,,Yoga,GrowingNN
