dataset,accuracy,error,epochs,generations,hidden_size,batch_size,simulation_set_size,simulation_alg,optimizer,simulation_time,simulation_epochs,simulation_scheduler_type
ArrowHead,0.5581395348837209,,30,3,32,32,50,montecarlo,adam,30,10,constant
ArrowHead,0.37209302325581395,,30,3,32,32,50,montecarlo,adam,30,10,progress_check
ArrowHead,0.4883720930232558,,30,3,32,32,50,montecarlo,adam,30,20,constant
ArrowHead,0.32558139534883723,,30,3,32,32,50,montecarlo,adam,30,20,progress_check
ArrowHead,0.4418604651162791,,30,3,32,32,50,montecarlo,adam,60,10,constant
ArrowHead,0.46511627906976744,,30,3,32,32,50,montecarlo,adam,60,10,progress_check
ArrowHead,0.5813953488372093,,30,3,32,32,50,montecarlo,adam,60,20,constant
ArrowHead,0.46511627906976744,,30,3,32,32,50,montecarlo,adam,60,20,progress_check
ArrowHead,0.4883720930232558,,30,3,32,32,50,montecarlo,adam,500,10,constant
ArrowHead,0.3953488372093023,,30,3,32,32,50,montecarlo,adam,500,10,progress_check
ArrowHead,0.5581395348837209,,30,3,32,32,50,montecarlo,adam,500,20,constant
ArrowHead,0.46511627906976744,,30,3,32,32,50,montecarlo,adam,500,20,progress_check
ArrowHead,0.3023255813953488,,30,3,32,32,100,montecarlo,adam,30,10,constant
ArrowHead,0.32558139534883723,,30,3,32,32,100,montecarlo,adam,30,10,progress_check
ArrowHead,0.6046511627906976,,30,3,32,32,100,montecarlo,adam,30,20,constant
ArrowHead,0.37209302325581395,,30,3,32,32,100,montecarlo,adam,30,20,progress_check
ArrowHead,0.5581395348837209,,30,3,32,32,100,montecarlo,adam,60,10,constant
ArrowHead,0.4883720930232558,,30,3,32,32,100,montecarlo,adam,60,10,progress_check
ArrowHead,0.3023255813953488,,30,3,32,32,100,montecarlo,adam,60,20,constant
ArrowHead,0.46511627906976744,,30,3,32,32,100,montecarlo,adam,60,20,progress_check
ArrowHead,0.3488372093023256,,30,3,32,32,100,montecarlo,adam,500,10,constant
ArrowHead,0.5348837209302325,,30,3,32,32,100,montecarlo,adam,500,10,progress_check
ArrowHead,0.4418604651162791,,30,3,32,32,100,montecarlo,adam,500,20,constant
ArrowHead,0.4418604651162791,,30,3,32,32,100,montecarlo,adam,500,20,progress_check
ArrowHead,0.5348837209302325,,30,3,32,32,200,montecarlo,adam,30,10,constant
ArrowHead,0.4186046511627907,,30,3,32,32,200,montecarlo,adam,30,10,progress_check
ArrowHead,0.4883720930232558,,30,3,32,32,200,montecarlo,adam,30,20,constant
ArrowHead,0.4186046511627907,,30,3,32,32,200,montecarlo,adam,30,20,progress_check
ArrowHead,0.4418604651162791,,30,3,32,32,200,montecarlo,adam,60,10,constant
ArrowHead,0.46511627906976744,,30,3,32,32,200,montecarlo,adam,60,10,progress_check
ArrowHead,0.27906976744186046,,30,3,32,32,200,montecarlo,adam,60,20,constant
ArrowHead,0.4418604651162791,,30,3,32,32,200,montecarlo,adam,60,20,progress_check
ArrowHead,0.5348837209302325,,30,3,32,32,200,montecarlo,adam,500,10,constant
ArrowHead,0.6046511627906976,,30,3,32,32,200,montecarlo,adam,500,10,progress_check
ArrowHead,0.4418604651162791,,30,3,32,32,200,montecarlo,adam,500,20,constant
ArrowHead,0.4186046511627907,,30,3,32,32,200,montecarlo,adam,500,20,progress_check
ArrowHead,0.5348837209302325,,30,3,32,64,50,montecarlo,adam,30,10,constant
ArrowHead,0.37209302325581395,,30,3,32,64,50,montecarlo,adam,30,10,progress_check
ArrowHead,0.46511627906976744,,30,3,32,64,50,montecarlo,adam,30,20,constant
ArrowHead,0.5348837209302325,,30,3,32,64,50,montecarlo,adam,30,20,progress_check
ArrowHead,0.4418604651162791,,30,3,32,64,50,montecarlo,adam,60,10,constant
